id,full_name,birthdate,gender,faction,faction_start,faction_end,profession,district_number,district_name,mandate,clean_handle,text,date
11004906,Dr. Marie-Agnes Strack-Zimmermann,1958-03-10,weiblich,FDP,2021-10-26,2024-07-15,"selbst. Verlagsrepräsentantin, Publizistin",106.0,Düsseldorf I,Landesliste,masz.bsky.social‬,"„Trotz auch harter Debatten gilt mein Dank Minister Pistorius für die enge Zusammenarbeit, meinen Kolleginnen und Kollegen der demokratischen Parteien für die konstruktive Arbeit für die Sicherheit unseres Landes und ganz besonders den Soldatinnen und Soldaten.“",2024-06-01 04:39:03.862
11004278,Matthias Gastel,1970-12-26,männlich,Grünen,2021-10-26,2025-03-25,,262.0,Nürtingen,Landesliste,matthias-gastel.de,"War zu Bahn und ÖPNV in Nürnberg. Es ging um die Aus-/Neubaustrecke Nürnberg - Bamberg (Schwerpunkt Gütertunnel Fürth), ein Modellprojekt für #Photovoltaik auf Lärmschutzwänden und um fahrerlose U-Bahn. Abends sprach ich über Bahn in Europa.",2024-06-01 05:52:16.490
11005162,Sascha Müller,1970-04-24,männlich,Grünen,2021-10-26,2025-03-25,Sportjournalist,245.0,Nürnberg-Süd,Landesliste,saschamk.bsky.social,"DGB-Chefin Yasmin Fahimi liegt falsch, wenn sie die grüne Transformation unserer Wirtschaft weiter abbremsen möchte. Vielmehr sind wir beim Umbau der Autoindustrie zu langsam und verlieren wichtige Zukunftsbranchen wie die Solarindustrie.",2024-06-01 08:02:58.941
11004255,Dr. Franziska Brantner,1979-08-24,weiblich,Grünen,2021-10-26,2025-03-25,Sozialwissenschaftlerin,274.0,Heidelberg,Direktwahl,franziskabrantner.de‬,Die deutsche Abhängigkeit von russischem Gas kam nicht von ungefähr. Große Koalitionen und Minister von haben über Jahre geflissentlich die Hinweise und Warnungen unserer Partner ignoriert.,2024-06-01 08:05:43.770
11004117,Beate Müller-Gemmeke,1960-10-07,weiblich,Grünen,2021-10-26,2025-03-25,Dipl. Sozialpädagogin (FH),289.0,Reutlingen,Landesliste,gruenebeate.bsky.social,Anders als beim Fußball gibt es in der #Prostitution kein Fairplay. Wenige Frauen prostituieren sich freiwillig. Freier nehmen das in Kauf und befördern damit Zwangsprostitution und Menschenhandel. Deshalb: #RoteKartefürFreier - für eine EM ohne Sexkauf,2024-06-01 08:55:25.819
11003847,Rita Schwarzelühr-Sutter,1962-10-13,weiblich,SPD,2021-10-26,2025-03-25,Dipl.-Betriebswirtin,288.0,Waldshut,Landesliste,ritaschwarzeluehr.bsky.social,"Ich hatte ein sehr berührendes Gespräch mit dem Präsidenten der #jewishcommunity #treeoflife Alan Hausman in Pittsburgh über #Antisemitismus und wie die Gemeinde mit dem Anschlag von 2018, bei dem 11 Personen getötet wurden, umgeht. #noAntisemitism #nohate",2024-06-01 09:11:03.120
11004127,Lisa Paus,1968-09-19,weiblich,Grünen,2021-10-26,2025-03-25,,80.0,Berlin-Charlottenburg-Wilmersdorf,Landesliste,lisapaus.bsky.social,"Heute vor 5 Jahren wurde Walter #Lübcke von einem Rechtsextremen erschossen. Er setzte sich Hass, Anfeindungen und Bedrohungen zum Trotz stets für Menschlichkeit ein. Die Erinnerung an Walter Lübcke ist Auftrag an uns alle, unsere Demokratie zu schützen und zu verteidigen.",2024-06-01 09:45:34.359
11004127,Lisa Paus,1968-09-19,weiblich,Grünen,2021-10-26,2025-03-25,,80.0,Berlin-Charlottenburg-Wilmersdorf,Landesliste,lisapaus.bsky.social,"Angriffe auf Ehrenämtler, Einsatzkräfte, Journalist*innen und Politiker*innen sind Angriffe auf uns alle! Wir treten Angriffen und Einschüchterungsversuchen entschlossen entgegen. Unsere Gedanken sind bei Walter Lübckes Familie und den Hinterbliebenen.",2024-06-01 09:45:58.590
11003847,Rita Schwarzelühr-Sutter,1962-10-13,weiblich,SPD,2021-10-26,2025-03-25,Dipl.-Betriebswirtin,288.0,Waldshut,Landesliste,ritaschwarzeluehr.bsky.social,many thanks for the fruitful exchange,2024-06-01 10:02:27.256
11005162,Sascha Müller,1970-04-24,männlich,Grünen,2021-10-26,2025-03-25,Sportjournalist,245.0,Nürnberg-Süd,Landesliste,saschamk.bsky.social,"Kann mir einer erklären, was die Union für Europa eigentlich will? Ihre Spitzenkandidatin .bsky.social bewirbt sich um eine Fortsetzung des Green Deal. Ihr Parteichef Manfred Weber möchte ihn abschaffen. Bin jetzt ich verwirrt oder ist es die CDU/CSU?",2024-06-01 10:03:57.750
11005162,Sascha Müller,1970-04-24,männlich,Grünen,2021-10-26,2025-03-25,Sportjournalist,245.0,Nürnberg-Süd,Landesliste,saschamk.bsky.social,"Toller Thread meiner Kollegin .bsky.social dazu, wie wir unsere Flusslandschaften wieder naturnah gestalten können und damit auch eine Antwort auf zukünftige Extremwetterereignisse geben können. Lesenswert!",2024-06-01 10:06:14.369
11002746,Cem Özdemir,1965-12-21,männlich,Grünen,2021-10-26,2025-03-25,Dipl.-Sozialpädagoge,258.0,Stuttgart I,Direktwahl,oezdemir.de,"Vielen Dank an die Einsatzkräfte, die gerade alles geben, um die Auswirkungen des starken Regens möglichst gering zu halten. Bitte informiert Euch über die Lage bei Euch vor Ort, begebt Euch nicht in Gefahr, folgt den Empfehlungen und Anweisungen. #Hochwasser",2024-06-01 11:34:02.000
11004088,Caren Lay,1972-12-11,weiblich,Die LINKE,2024-02-02,2025-03-25,Dipl.-Soziologin,156.0,Bautzen I,Landesliste,carenlay.bsky.social,"#Mietenwahnsinn: Potsdam +31 % Berlin +27 % Prignitz +15 %, Bundesschnitt + 7,3%. Traurige Ergebnisse meiner neuen Anfrage. Wir brauchen endlich einen #Mietenstop! Und mehr Druck: kommt zur #Mietendemo",2024-06-01 11:36:52.363
11005065,Dr. Jan-Niclas Gesenhues,1990-02-12,männlich,Grünen,2021-10-26,2025-03-25,"Volkswirt, MdB",128.0,Steinfurt III,Landesliste,gesenhues.bsky.social‬,"Katastrophenfall für mehrere Regionen in Deutschland. Danke allen Helferinnen und Helfern, die gerade im Einsatz sind. Ihren Anweisungen sollte gefolgt werden, um sich und andere nicht in Gefahr zu bringen. Gefahren durch Extremwetter und #Hochwasser sind nicht zu unterschätzen.",2024-06-01 12:32:36.472
11005162,Sascha Müller,1970-04-24,männlich,Grünen,2021-10-26,2025-03-25,Sportjournalist,245.0,Nürnberg-Süd,Landesliste,saschamk.bsky.social,Heute wäre ein guter Tag mal über ökologischen Hochwasserschutz zu sprechen. Stattdessen machen CSU und CDU Wahlkampf gegen das Nature Restoration Law. Diese Politik gegen die Natur sollte bei der Europawahl nicht auch noch belohnt werden!,2024-06-01 16:11:59.893
11004278,Matthias Gastel,1970-12-26,männlich,Grünen,2021-10-26,2025-03-25,,262.0,Nürtingen,Landesliste,matthias-gastel.de,Mehr als 60 neue Listen für die Kommunalwahl in Baden-Württemberg. Gute Ausgangslage für mehr Grüne in der Kommunalpolitik!,2024-06-01 16:17:46.091
11005095,Lamya Kaddor,1978-06-11,weiblich,Grünen,2021-10-26,2025-03-25,"Islamwissenschaftlerin, Lehrerin für islamischen Religionsunterricht, Publizistin",115.0,Duisburg I,Landesliste,lamyakaddor.bsky.social,"Heute tritt die neue #Chancenkarte endlich in Kraft! Für Chancen in der Grünen Transformation, im Handwerk und in der Pflege! Wir senken die Hürden für Arbeitskrafte aus dem Ausland und werten Berufserfahrung auf.",2024-06-01 17:14:58.347
11005095,Lamya Kaddor,1978-06-11,weiblich,Grünen,2021-10-26,2025-03-25,"Islamwissenschaftlerin, Lehrerin für islamischen Religionsunterricht, Publizistin",115.0,Duisburg I,Landesliste,lamyakaddor.bsky.social,"Wir fördern ausländische Studierende und Auszubildende. Und wir machen das Zuwanderungsrecht familienfreundlicher, damit Integration von Anfang an gelingt! #FEG #Fachkräfteeinwanderungsgesetz",2024-06-01 17:15:17.233
11004278,Matthias Gastel,1970-12-26,männlich,Grünen,2021-10-26,2025-03-25,,262.0,Nürtingen,Landesliste,matthias-gastel.de,Ich wünsche dem Kollegen gute Genesung!,2024-06-01 17:31:48.137
11005162,Sascha Müller,1970-04-24,männlich,Grünen,2021-10-26,2025-03-25,Sportjournalist,245.0,Nürnberg-Süd,Landesliste,saschamk.bsky.social,"Eine Partei wie die CSU, die jetzt im Europawahlkampf Nein zum Verbrenner-Aus sagt, sagt auch Ja zur Klimakatastrophe.",2024-06-01 21:08:27.479
11005162,Sascha Müller,1970-04-24,männlich,Grünen,2021-10-26,2025-03-25,Sportjournalist,245.0,Nürnberg-Süd,Landesliste,saschamk.bsky.social,"Eine Woche noch bis zur Europawahl: Nach dem #Hochwasser ist klar, dass wir mehr Natur- und Klimaschutz brauchen und keine Rückabwicklung des Green Deal.",2024-06-02 07:20:33.259
11005095,Lamya Kaddor,1978-06-11,weiblich,Grünen,2021-10-26,2025-03-25,"Islamwissenschaftlerin, Lehrerin für islamischen Religionsunterricht, Publizistin",115.0,Duisburg I,Landesliste,lamyakaddor.bsky.social,"Heute jährt sich zum fünften Mal der Tag der Ermordung des Kasseler Regierungspräsidenten Walter #Lübcke. Wir haben im Bundestag immer wieder betont, dass wir #Rechtsextremismus mit allen uns zur Verfügung stehenden Mitteln bekämpfen müssen. 1/3",2024-06-02 07:50:30.019
