,id,full_name,birthdate,gender,faction,faction_start,faction_end,profession,district_number,district_name,mandate,clean_handle,text,date,sentiment_score,sentiment_class,week_start
0,11004906,Dr. Marie-Agnes Strack-Zimmermann,1958-03-10,weiblich,FDP,2021-10-26,2024-07-15,"selbst. Verlagsrepräsentantin, Publizistin",106.0,Düsseldorf I,Landesliste,masz.bsky.social‬,"„Trotz auch harter Debatten gilt mein Dank Minister Pistorius für die enge Zusammenarbeit, meinen Kolleginnen und Kollegen der demokratischen Parteien für die konstruktive Arbeit für die Sicherheit unseres Landes und ganz besonders den Soldatinnen und Soldaten.“",2024-06-01 04:39:03.862,3.772660914848719,positive,2024-05-27
1,11004278,Matthias Gastel,1970-12-26,männlich,Grünen,2021-10-26,2025-03-25,,262.0,Nürtingen,Landesliste,matthias-gastel.de,"War zu Bahn und ÖPNV in Nürnberg. Es ging um die Aus-/Neubaustrecke Nürnberg - Bamberg (Schwerpunkt Gütertunnel Fürth), ein Modellprojekt für #Photovoltaik auf Lärmschutzwänden und um fahrerlose U-Bahn. Abends sprach ich über Bahn in Europa.",2024-06-01 05:52:16.490,-0.2002946340650494,neutral,2024-05-27
2,11005162,Sascha Müller,1970-04-24,männlich,Grünen,2021-10-26,2025-03-25,Sportjournalist,245.0,Nürnberg-Süd,Landesliste,saschamk.bsky.social,"DGB-Chefin Yasmin Fahimi liegt falsch, wenn sie die grüne Transformation unserer Wirtschaft weiter abbremsen möchte. Vielmehr sind wir beim Umbau der Autoindustrie zu langsam und verlieren wichtige Zukunftsbranchen wie die Solarindustrie.",2024-06-01 08:02:58.941,-5.528440294208582,negative,2024-05-27
3,11004255,Dr. Franziska Brantner,1979-08-24,weiblich,Grünen,2021-10-26,2025-03-25,Sozialwissenschaftlerin,274.0,Heidelberg,Direktwahl,franziskabrantner.de‬,Die deutsche Abhängigkeit von russischem Gas kam nicht von ungefähr. Große Koalitionen und Minister von haben über Jahre geflissentlich die Hinweise und Warnungen unserer Partner ignoriert.,2024-06-01 08:05:43.770,-5.810579195267942,negative,2024-05-27
4,11004117,Beate Müller-Gemmeke,1960-10-07,weiblich,Grünen,2021-10-26,2025-03-25,Dipl. Sozialpädagogin (FH),289.0,Reutlingen,Landesliste,gruenebeate.bsky.social,Anders als beim Fußball gibt es in der #Prostitution kein Fairplay. Wenige Frauen prostituieren sich freiwillig. Freier nehmen das in Kauf und befördern damit Zwangsprostitution und Menschenhandel. Deshalb: #RoteKartefürFreier - für eine EM ohne Sexkauf,2024-06-01 08:55:25.819,-2.3120318979185694,neutral,2024-05-27
5,11003847,Rita Schwarzelühr-Sutter,1962-10-13,weiblich,SPD,2021-10-26,2025-03-25,Dipl.-Betriebswirtin,288.0,Waldshut,Landesliste,ritaschwarzeluehr.bsky.social,"Ich hatte ein sehr berührendes Gespräch mit dem Präsidenten der #jewishcommunity #treeoflife Alan Hausman in Pittsburgh über #Antisemitismus und wie die Gemeinde mit dem Anschlag von 2018, bei dem 11 Personen getötet wurden, umgeht. #noAntisemitism #nohate",2024-06-01 09:11:03.120,-2.254103875784096,negative,2024-05-27
6,11004127,Lisa Paus,1968-09-19,weiblich,Grünen,2021-10-26,2025-03-25,,80.0,Berlin-Charlottenburg-Wilmersdorf,Landesliste,lisapaus.bsky.social,"Heute vor 5 Jahren wurde Walter #Lübcke von einem Rechtsextremen erschossen. Er setzte sich Hass, Anfeindungen und Bedrohungen zum Trotz stets für Menschlichkeit ein. Die Erinnerung an Walter Lübcke ist Auftrag an uns alle, unsere Demokratie zu schützen und zu verteidigen.",2024-06-01 09:45:34.359,-1.743767002669238,neutral,2024-05-27
7,11004127,Lisa Paus,1968-09-19,weiblich,Grünen,2021-10-26,2025-03-25,,80.0,Berlin-Charlottenburg-Wilmersdorf,Landesliste,lisapaus.bsky.social,"Angriffe auf Ehrenämtler, Einsatzkräfte, Journalist*innen und Politiker*innen sind Angriffe auf uns alle! Wir treten Angriffen und Einschüchterungsversuchen entschlossen entgegen. Unsere Gedanken sind bei Walter Lübckes Familie und den Hinterbliebenen.",2024-06-01 09:45:58.590,-1.9392229939194172,neutral,2024-05-27
8,11003847,Rita Schwarzelühr-Sutter,1962-10-13,weiblich,SPD,2021-10-26,2025-03-25,Dipl.-Betriebswirtin,288.0,Waldshut,Landesliste,ritaschwarzeluehr.bsky.social,many thanks for the fruitful exchange,2024-06-01 10:02:27.256,5.264534913140897,positive,2024-05-27
9,11005162,Sascha Müller,1970-04-24,männlich,Grünen,2021-10-26,2025-03-25,Sportjournalist,245.0,Nürnberg-Süd,Landesliste,saschamk.bsky.social,"Kann mir einer erklären, was die Union für Europa eigentlich will? Ihre Spitzenkandidatin .bsky.social bewirbt sich um eine Fortsetzung des Green Deal. Ihr Parteichef Manfred Weber möchte ihn abschaffen. Bin jetzt ich verwirrt oder ist es die CDU/CSU?",2024-06-01 10:03:57.750,-3.8736865176351993,neutral,2024-05-27
