full_name,week_start,mean_sentiment_score,n_posts,week_index,birthdate,gender,faction,profession,district_number,district_name,mandate,clean_handle,age
Alexander Müller,2024-08-12,0.013284299799208319,1,11,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2024-08-19,-2.498072046454348,1,12,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2024-08-26,4.603703457482954,1,13,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2024-09-30,-3.211948329871507,1,18,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2024-11-11,-3.956356775388625,1,24,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2024-11-18,-2.795941582850491,2,25,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2024-12-09,0.8494537993810727,1,28,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2024-12-16,-0.12654734755628422,1,29,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2024-12-30,0.010702597736183725,3,31,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,55
Alexander Müller,2025-01-06,-1.167838817680972,2,32,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,56
Alexander Müller,2025-01-13,-5.448957069459701,1,33,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,56
Alexander Müller,2025-01-20,-0.20812394992611932,1,34,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,56
Alexander Müller,2025-02-03,-3.8570319951695793,1,36,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,56
Alexander Müller,2025-02-17,-6.381931572594713,1,38,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,56
