,id,full_name,birthdate,gender,faction,faction_start,faction_end,profession,district_number,district_name,mandate,potential_handle
514,11005504,Achim Köhler,1964-03-22,männlich,AfD,2025-03-25,,,277,Rhein-Neckar,Landesliste,
417,11005408,Adam Balten,1983-11-09,männlich,AfD,2025-03-25,,Mechatronik-Ingenieur,112,Wesel I,Landesliste,
413,11005404,Alexander Arpaschi,1970-05-24,männlich,AfD,2025-03-25,,,273,Rastatt,Landesliste,
631,11005622,Alexis L. Giersch,1963-09-25,männlich,AfD,2025-03-25,,,,,Landesliste,
170,11004674,Andreas Bleck,1988-04-17,männlich,AfD,2025-03-25,,Büroleiter,196,Neuwied,Landesliste,
534,11005524,Andreas Mayer,1995-01-25,männlich,AfD,2025-03-25,,Luft- und Raumfahrttechnik-Ingenieur,253,Donau-Ries,Landesliste,qimmuno.bsky.social
550,11005540,Andreas Paul,1978-10-10,männlich,AfD,2025-03-25,,Offizier in der Bundeswehr,27,Oldenburg – Ammerland,Landesliste,andimicroscopy.bsky.social
569,11005559,Angela Rudzka,1984-01-20,weiblich,AfD,2025-03-25,,Referentin der AfD Fraktion im Landtag Niedersachsen,49,Salzgitter – Wolfenbüttel,Landesliste,
559,11005549,Arne Raue,1970-08-18,männlich,AfD,2025-03-25,,,60,BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,Direktwahl,
605,11005596,Bastian Treuheit,1998-01-17,männlich,AfD,2025-03-25,,Kaufmann im Groß- und Einzelhandel,242,Fürth,Landesliste,
240,11004905,Beatrix Storch,1971-05-27,weiblich,AfD,2025-03-25,,Anwältin,85,Berlin-Lichtenberg,Landesliste,
368,11005203,Bernd Schattner,1968-06-27,männlich,AfD,2025-03-25,,Geschäftsführer,210,Südpfalz,Landesliste,
587,11005578,Bernd Schuhmann,1964-07-20,männlich,AfD,2025-03-25,,"Gärtnermeister, Gärtnertechniker",249,Schweinfurt,Landesliste,
424,11005415,Birgit Bessin,1978-03-26,weiblich,AfD,2025-03-25,,,65,Elbe-Elster – Oberspreewald-Lausitz,Direktwahl,
472,11005463,Boris Gamanov,1986-10-19,männlich,AfD,2025-03-25,,Wirtschaftsfachwirt,296,Saarbrücken,Landesliste,
577,11005567,Carina Schießl,1990-02-19,weiblich,AfD,2025-03-25,,,232,Regensburg,Landesliste,heartflamestudio.bsky.social
259,11005014,Carolin Bachmann,1988-09-03,weiblich,AfD,2025-03-25,,,160,Mittelsachsen,Direktwahl,
421,11005412,Carsten Becker,1990-01-20,männlich,AfD,2025-03-25,,Facharbeiter,297,Saarlouis,Landesliste,
451,11005442,Christian Douglas,1978-01-26,männlich,AfD,2025-03-25,,Dipl.-Kaufmann,180,Main-Taunus,Landesliste,crddouglas.bsky.social
560,11005550,Christian Reck,1987-11-16,männlich,AfD,2025-03-25,,"Kaufmann für Groß- und Außenhandel, B.A.",154,Meißen,Direktwahl,
624,11005615,Christian Zaum,1969-06-30,männlich,AfD,2025-03-25,,Gymnasiallehrer,147,Siegen-Wittgenstein,Landesliste,
481,11005472,Christoph Grimm,1957-04-03,männlich,AfD,2025-03-25,,Rechtsanwalt,13,Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,Direktwahl,pluna1107.bsky.social
452,11005443,Christopher Drößler,1995-09-26,männlich,AfD,2025-03-25,,Polizeibeamter,188,Eichsfeld – Nordhausen – Kyffhäuserkreis,Direktwahl,
617,11005608,Claudia Weiss,1975-02-07,weiblich,AfD,2025-03-25,,Pflegedienstleiterin,69,Magdeburg,Direktwahl,
536,11005526,Danny Meiners,1979-01-02,männlich,AfD,2025-03-25,,Metallbaumeister,31,Mittelems,Landesliste,
590,11005581,Dario Seifert,1994-04-02,männlich,AfD,2025-03-25,,Kaufmann für Bürokommunikation,15,Vorpommern-Rügen – Vorpommern-Greifswald I,Direktwahl,
551,11005541,Denis Pauli,1978-09-25,männlich,AfD,2025-03-25,,,,,Landesliste,marcpauli.bsky.social
627,11005618,Diana Zimmer,1998-07-09,weiblich,AfD,2025-03-25,,Betriebswirtin (B.Sc.),279,Pforzheim,Landesliste,
270,11005031,Dirk Brandes,1974-05-25,männlich,AfD,2025-03-25,,Industriekaufmann,43,Hannover-Land I,Landesliste,brandesino.bsky.social
186,11004724,Dr. Alexander Gauland,1941-02-20,männlich,AfD,2025-03-25,,"Staatssekretär a. D., Publizist",161,Chemnitz,Direktwahl,
