id,full_name,birthdate,gender,faction,faction_start,faction_end,profession,district_number,district_name,mandate,clean_handle
11005504,Achim Köhler,1964-03-22,männlich,AfD,2025-03-25,,,277.0,Rhein-Neckar,Landesliste,
11005408,Adam Balten,1983-11-09,männlich,AfD,2025-03-25,,Mechatronik-Ingenieur,112.0,Wesel I,Landesliste,
11005404,Alexander Arpaschi,1970-05-24,männlich,AfD,2025-03-25,,,273.0,Rastatt,Landesliste,
11005622,Alexis L. Giersch,1963-09-25,männlich,AfD,2025-03-25,,,,,Landesliste,
11004674,Andreas Bleck,1988-04-17,männlich,AfD,2025-03-25,,Büroleiter,196.0,Neuwied,Landesliste,
11005524,Andreas Mayer,1995-01-25,männlich,AfD,2025-03-25,,Luft- und Raumfahrttechnik-Ingenieur,253.0,Donau-Ries,Landesliste,
11005540,Andreas Paul,1978-10-10,männlich,AfD,2025-03-25,,Offizier in der Bundeswehr,27.0,Oldenburg – Ammerland,Landesliste,
11005559,Angela Rudzka,1984-01-20,weiblich,AfD,2025-03-25,,Referentin der AfD Fraktion im Landtag Niedersachsen,49.0,Salzgitter – Wolfenbüttel,Landesliste,
11005549,Arne Raue,1970-08-18,männlich,AfD,2025-03-25,,,60.0,BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,Direktwahl,
11005596,Bastian Treuheit,1998-01-17,männlich,AfD,2025-03-25,,Kaufmann im Groß- und Einzelhandel,242.0,Fürth,Landesliste,
11004905,Beatrix Storch,1971-05-27,weiblich,AfD,2025-03-25,,Anwältin,85.0,Berlin-Lichtenberg,Landesliste,
11005203,Bernd Schattner,1968-06-27,männlich,AfD,2025-03-25,,Geschäftsführer,210.0,Südpfalz,Landesliste,
11005578,Bernd Schuhmann,1964-07-20,männlich,AfD,2025-03-25,,"Gärtnermeister, Gärtnertechniker",249.0,Schweinfurt,Landesliste,
11005415,Birgit Bessin,1978-03-26,weiblich,AfD,2025-03-25,,,65.0,Elbe-Elster – Oberspreewald-Lausitz,Direktwahl,
11005463,Boris Gamanov,1986-10-19,männlich,AfD,2025-03-25,,Wirtschaftsfachwirt,296.0,Saarbrücken,Landesliste,
11005567,Carina Schießl,1990-02-19,weiblich,AfD,2025-03-25,,,232.0,Regensburg,Landesliste,
11005014,Carolin Bachmann,1988-09-03,weiblich,AfD,2025-03-25,,,160.0,Mittelsachsen,Direktwahl,
11005412,Carsten Becker,1990-01-20,männlich,AfD,2025-03-25,,Facharbeiter,297.0,Saarlouis,Landesliste,
11005442,Christian Douglas,1978-01-26,männlich,AfD,2025-03-25,,Dipl.-Kaufmann,180.0,Main-Taunus,Landesliste,
11005550,Christian Reck,1987-11-16,männlich,AfD,2025-03-25,,"Kaufmann für Groß- und Außenhandel, B.A.",154.0,Meißen,Direktwahl,
11005615,Christian Zaum,1969-06-30,männlich,AfD,2025-03-25,,Gymnasiallehrer,147.0,Siegen-Wittgenstein,Landesliste,
11005472,Christoph Grimm,1957-04-03,männlich,AfD,2025-03-25,,Rechtsanwalt,13.0,Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,Direktwahl,
11005443,Christopher Drößler,1995-09-26,männlich,AfD,2025-03-25,,Polizeibeamter,188.0,Eichsfeld – Nordhausen – Kyffhäuserkreis,Direktwahl,
11005608,Claudia Weiss,1975-02-07,weiblich,AfD,2025-03-25,,Pflegedienstleiterin,69.0,Magdeburg,Direktwahl,
11005526,Danny Meiners,1979-01-02,männlich,AfD,2025-03-25,,Metallbaumeister,31.0,Mittelems,Landesliste,
11005581,Dario Seifert,1994-04-02,männlich,AfD,2025-03-25,,Kaufmann für Bürokommunikation,15.0,Vorpommern-Rügen – Vorpommern-Greifswald I,Direktwahl,
11005541,Denis Pauli,1978-09-25,männlich,AfD,2025-03-25,,,,,Landesliste,
11005618,Diana Zimmer,1998-07-09,weiblich,AfD,2025-03-25,,Betriebswirtin (B.Sc.),279.0,Pforzheim,Landesliste,
11005031,Dirk Brandes,1974-05-25,männlich,AfD,2025-03-25,,Industriekaufmann,43.0,Hannover-Land I,Landesliste,
11004724,Dr. Alexander Gauland,1941-02-20,männlich,AfD,2025-03-25,,"Staatssekretär a. D., Publizist",161.0,Chemnitz,Direktwahl,
11005613,Dr. Alexander Wolf,1967-04-19,männlich,AfD,2025-03-25,,Rechtsanwalt,20.0,Hamburg-Eimsbüttel,Landesliste,
11004930,Dr. Alice Weidel,1979-02-06,weiblich,AfD,2025-03-25,,"Dipl.-Kauffrau, Dipl.-Volkswirtin",293.0,Bodensee,Landesliste,
11005515,Dr. Anna Rathert,1977-04-29,weiblich,AfD,2025-03-25,,Rechtsanwältin,120.0,Recklinghausen I,Landesliste,
11004662,Dr. Bernd Baumann,1958-01-31,männlich,AfD,2025-03-25,,Kaufmann,19.0,Hamburg-Altona,Landesliste,
11004936,Dr. Christian Wirth,1963-04-27,männlich,AfD,2025-03-25,,Rechtsanwalt,,,Landesliste,
11005018,Dr. Christina Baum,1956-03-21,weiblich,AfD,2025-03-25,,Zahnärztin,68.0,Harz,Direktwahl,
11005418,Dr. Christoph Birghan,1970-06-23,männlich,AfD,2025-03-25,,Patentanwalt,224.0,Traunstein,Landesliste,
11005616,Dr. Daniel Zerbin,1973-02-01,männlich,AfD,2025-03-25,,Kriminalwissenschaftler,140.0,Herne – Bochum II,Landesliste,
11004698,Dr. Gottfried Curio,1960-09-02,männlich,AfD,2025-03-25,,,84.0,Berlin-Marzahn-Hellersdorf,Direktwahl,
11004722,Dr. Götz Frömming,1968-08-30,männlich,AfD,2025-03-25,,Gymnasiallehrer,56.0,Prignitz – Ostprignitz-Ruppin – Havelland I,Direktwahl,
11005099,Dr. Malte Kaufmann,1976-12-14,männlich,AfD,2025-03-25,,"Dipl.-Volkswirt, Unternehmer",274.0,Heidelberg,Landesliste,
11005512,Dr. Maximilian Krah,1977-01-28,männlich,AfD,2025-03-25,,Volljurist,162.0,Chemnitzer Umland – Erzgebirgskreis II,Direktwahl,
11005420,Dr. Michael Blos,1976-03-03,männlich,AfD,2025-03-25,,Dipl. Geologe,283.0,Emmendingen – Lahr,Landesliste,
11004711,Dr. Michael Espendiller,1989-05-05,männlich,AfD,2025-03-25,,"Mathematiker, Volkswirt",125.0,Borken II,Landesliste,
11005572,Dr. Paul Schmidt,1966-01-04,männlich,AfD,2025-03-25,,Physiker,,,Landesliste,
11004792,Dr. Rainer Kraft,1974-01-08,männlich,AfD,2025-03-25,,Dipl.-Chemiker,,,Landesliste,
11005305,Dr. Rainer Rothfuß,1971-04-19,männlich,AfD,2025-03-25,,Geopolitik-Analyst,256.0,Oberallgäu,Landesliste,
11005166,Edgar Naujok,1960-06-25,männlich,AfD,2025-03-25,,Unternehmer,153.0,Leipzig-Land,Direktwahl,
11004787,Enrico Komning,1968-08-06,männlich,AfD,2025-03-25,,Rechtsanwalt,16.0,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,Direktwahl,
11005433,Erhard Brucker,1972-10-28,männlich,AfD,2025-03-25,,Unternehmer,228.0,Passau,Landesliste,
11004767,Fabian Jacobi,1973-06-19,männlich,AfD,2025-03-25,,Rechtsanwalt,92.0,Köln I,Landesliste,
11005577,Georg Schroeter,1950-08-26,männlich,AfD,2025-03-25,,Diplom-Ingenieur; selbständig,144.0,Hamm – Unna II,Landesliste,
11005029,Gereon Bollmann,1953-11-20,männlich,AfD,2025-03-25,,Richter am Oberlandesgericht a. D.,4.0,Rendsburg-Eckernförde,Landesliste,
11004846,Gerold Otten,1955-12-07,männlich,AfD,2025-03-25,,Berufssoldat a. D.,220.0,München-Land,Landesliste,
11005091,Gerrit Huy,1953-05-13,weiblich,AfD,2025-03-25,,Diplommathematikerin,225.0,Weilheim,Landesliste,
11005066,Hannes Gnauck,1991-08-08,männlich,AfD,2025-03-25,,Soldat auf Zeit,57.0,Uckermark – Barnim I,Direktwahl,
11005469,Hans-Jürgen Goßner,1970-11-17,männlich,AfD,2025-03-25,,"Industriemeister für Elektrotechnik (IHK), Technischer Einkäufer",263.0,Göppingen,Landesliste,
11005458,Hauke Finger,1968-08-17,männlich,AfD,2025-03-25,,Bankbetriebswirt,113.0,Krefeld II – Wesel II,Landesliste,
11005502,Heinrich Koch,1962-03-08,männlich,AfD,2025-03-25,,Sachverständiger für Unfallrekonstruktion,275.0,Mannheim,Landesliste,
11005535,Iris Nieland,1960-06-20,weiblich,AfD,2025-03-25,,,209.0,Pirmasens,Landesliste,
11005455,Jan Feser,1985-03-01,männlich,AfD,2025-03-25,,Sozialjurist,177.0,Rheingau-Taunus – Limburg,Landesliste,
11004842,Jan Ralf Nolte,1988-12-30,männlich,AfD,2025-03-25,,Soldat,166.0,Waldeck,Landesliste,
11005210,Jan Wenzel Schmidt,1991-10-08,männlich,AfD,2025-03-25,,Handelsfachwirt,67.0,Börde – Salzlandkreis,Direktwahl,
11005419,Joachim Bloch,1963-08-02,männlich,AfD,2025-03-25,,Rechtsanwalt,285.0,Rottweil – Tuttlingen,Landesliste,
11004739,Jochen Haug,1973-01-11,männlich,AfD,2025-03-25,,Rechtsanwalt,94.0,Köln III,Landesliste,
11005522,Johann Martel,1979-02-16,männlich,AfD,2025-03-25,,Technischer Fachwirt,276.0,Odenwald – Tauber,Landesliste,
11005569,Julian Schmidt,1989-12-10,männlich,AfD,2025-03-25,,Wirtschaftsingenieur,170.0,Marburg,Landesliste,
11005619,Jörg Zirwes,1968-03-20,männlich,AfD,2025-03-25,,Berufssoldat a. D.,199.0,Mosel/Rhein-Hunsrück,Landesliste,
11004788,Jörn König,1967-10-29,männlich,AfD,2025-03-25,,"IT-Unternehmensberater, Dipl.-Ing. (MBA)",41.0,Stadt Hannover I,Landesliste,
11005503,Jürgen Koegel,1958-09-26,männlich,AfD,2025-03-25,,Dipl.-Bankbetriebswirt ADG,267.0,Heilbronn,Landesliste,
11004752,Karsten Hilse,1964-12-12,männlich,AfD,2025-03-25,,Polizeibeamter,155.0,Bautzen I,Direktwahl,
11004731,Kay Gottschalk,1965-12-12,männlich,AfD,2025-03-25,,Dipl.-Kaufmann,110.0,Viersen,Landesliste,
11005265,Kay-Uwe Ziegler,1963-10-27,männlich,AfD,2025-03-25,,Kaufmann / Geschäftsführer Textilhandel,73.0,Mansfeld,Direktwahl,
11005547,Kerstin Przygodda,1962-08-15,weiblich,AfD,2025-03-25,,Angestellte,11.0,Lübeck,Landesliste,
11005528,Knuth Meyer-Soltau,1965-03-13,männlich,AfD,2025-03-25,,Rechtsanwalt und Fachanwalt für Strafrecht,139.0,Bochum I,Landesliste,
