,id,full_name,birthdate,gender,faction,faction_start,faction_end,profession,district_number,district_name,mandate,potential_handle
329,11004727,Albrecht Glaser,1942-01-08,männlich,AfD,2021-10-26,2025-03-25,"Stadtkämmerer a. D., Bürgermeister a. D.",170,Schwalm-Eder,Landesliste,
292,11004674,Andreas Bleck,1988-04-17,männlich,AfD,2021-10-26,2025-03-25,Büroleiter,197,Neuwied,Landesliste,
586,11005126,Barbara Lenk,1982-10-04,weiblich,AfD,2021-10-26,2025-03-25,Dipl.-Bibliothekarin (FH),155,Meißen,Direktwahl,
427,11004905,Beatrix Storch,1971-05-27,weiblich,AfD,2021-10-26,2025-03-25,Anwältin,75,Berlin-Mitte,Landesliste,
660,11005203,Bernd Schattner,1968-06-27,männlich,AfD,2021-10-26,2025-03-25,Geschäftsführer,211,Südpfalz,Landesliste,
475,11005014,Carolin Bachmann,1988-09-03,weiblich,AfD,2021-10-26,2025-03-25,,161,Mittelsachsen,Direktwahl,
324,11004719,Dietmar Friedhoff,1966-06-18,männlich,AfD,2021-10-26,2025-03-25,"Dipl.-Ingenieur, Vertriebstrainer, Gebäudesystemdesigner",43,Hannover-Land I,Landesliste,
492,11005031,Dirk Brandes,1974-05-25,männlich,AfD,2021-10-26,2025-03-25,Industriekaufmann,47,Hannover-Land II,Landesliste,brandesino.bsky.social
327,11004724,Dr. Alexander Gauland,1941-02-20,männlich,AfD,2021-10-26,2025-03-25,"Staatssekretär a. D., Publizist",,,Landesliste,
442,11004930,Dr. Alice Weidel,1979-02-06,weiblich,AfD,2021-10-26,2025-03-25,"Dipl.-Kauffrau, Dipl.-Volkswirtin",293,Bodensee,Landesliste,
285,11004662,Dr. Bernd Baumann,1958-01-31,männlich,AfD,2021-10-26,2025-03-25,Kaufmann,19,Hamburg-Altona,Landesliste,
447,11004936,Dr. Christian Wirth,1963-04-27,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,299,Homburg,Landesliste,
479,11005018,Dr. Christina Baum,1956-03-21,weiblich,AfD,2021-10-26,2025-03-25,Zahnärztin,276,Odenwald - Tauber,Landesliste,
421,11004899,Dr. Dirk Spaniel,1971-11-03,männlich,AfD,2021-10-26,2024-10-15,Ingenieur,258,Stuttgart I,Landesliste,
311,11004698,Dr. Gottfried Curio,1960-09-02,männlich,AfD,2021-10-26,2025-03-25,,,,Landesliste,
326,11004722,Dr. Götz Frömming,1968-08-30,männlich,AfD,2021-10-26,2025-03-25,Gymnasiallehrer,76,Berlin-Pankow,Landesliste,
560,11005099,Dr. Malte Kaufmann,1976-12-14,männlich,AfD,2021-10-26,2025-03-25,"Dipl.-Volkswirt, Unternehmer",274,Heidelberg,Landesliste,
352,11004768,Dr. Marc Jongen,1968-05-23,männlich,AfD,2021-10-26,2024-07-15,Dozent für Philosophie,266,Neckar-Zaber,Landesliste,
319,11004711,Dr. Michael Espendiller,1989-05-05,männlich,AfD,2021-10-26,2025-03-25,"Mathematiker, Volkswirt",126,Borken II,Landesliste,
366,11004792,Dr. Rainer Kraft,1974-01-08,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Chemiker,253,Augsburg-Land,Landesliste,
735,11005305,Dr. Rainer Rothfuß,1971-04-19,männlich,AfD,2023-03-02,2025-03-25,Geopolitik-Analyst,256,Oberallgäu,Landesliste,
625,11005166,Edgar Naujok,1960-06-25,männlich,AfD,2021-10-26,2025-03-25,Unternehmer,154,Leipzig-Land,Direktwahl,
362,11004787,Enrico Komning,1968-08-06,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,16,Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,Landesliste,
666,11005209,Eugen Schmidt,1975-10-23,männlich,AfD,2021-10-26,2025-03-25,Diplom Informatiker,91,Rhein-Erft-Kreis I,Landesliste,
351,11004767,Fabian Jacobi,1973-06-19,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,93,Köln I,Landesliste,
647,11005189,Frank Rinck,1986-11-04,männlich,AfD,2021-10-26,2025-03-25,Landwirt,48,Hildesheim,Landesliste,
490,11005029,Gereon Bollmann,1953-11-20,männlich,AfD,2021-10-26,2025-03-25,Richter am Oberlandesgericht a. D.,4,Rendsburg-Eckernförde,Landesliste,
392,11004846,Gerold Otten,1955-12-07,männlich,AfD,2021-10-26,2025-03-25,Berufssoldat a. D.,221,München-Land,Landesliste,
552,11005091,Gerrit Huy,1953-05-13,weiblich,AfD,2021-10-26,2025-03-25,Diplommathematikerin,226,Weilheim,Landesliste,
527,11005066,Hannes Gnauck,1991-08-08,männlich,AfD,2021-10-26,2025-03-25,Soldat auf Zeit,57,Uckermark - Barnim I,Landesliste,
389,11004842,Jan Ralf Nolte,1988-12-30,männlich,AfD,2021-10-26,2025-03-25,Soldat,167,Waldeck,Landesliste,
667,11005210,Jan Wenzel Schmidt,1991-10-08,männlich,AfD,2021-10-26,2025-03-25,Handelsfachwirt,67,Börde - Jerichower Land,Landesliste,
721,11005264,Joachim Wundrak,1955-05-28,männlich,AfD,2021-10-26,2025-03-25,Generalleutnant a. D.,26,Friesland - Wilhelmshaven - Wittmund,Landesliste,
334,11004739,Jochen Haug,1973-01-11,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,95,Köln III,Landesliste,
412,11004880,Jörg Schneider,1964-05-14,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Wirtschaftsingenieur,123,Gelsenkirchen,Landesliste,sputniki.bsky.social
363,11004788,Jörn König,1967-10-29,männlich,AfD,2021-10-26,2025-03-25,"IT-Unternehmensberater, Dipl.-Ing. (MBA)",41,Stadt Hannover I,Landesliste,
297,11004680,Jürgen Braun,1961-08-25,männlich,AfD,2021-10-26,2025-03-25,Jurist,264,Waiblingen,Landesliste,
398,11004856,Jürgen Pohl,1964-01-07,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,189,Eichsfeld - Nordhausen - Kyffhäuserkreis,Landesliste,
342,11004752,Karsten Hilse,1964-12-12,männlich,AfD,2021-10-26,2025-03-25,Polizeibeamter,156,Bautzen I,Direktwahl,
330,11004731,Kay Gottschalk,1965-12-12,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Kaufmann,111,Viersen,Landesliste,
722,11005265,Kay-Uwe Ziegler,1963-10-27,männlich,AfD,2021-10-26,2025-03-25,Kaufmann / Geschäftsführer Textilhandel,71,Anhalt,Direktwahl,
689,11005232,Klaus Stöber,1961-09-11,männlich,AfD,2021-10-26,2025-03-25,Steuerberater,190,Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis,Direktwahl,
347,11004761,Leif-Erik Holm,1970-08-01,männlich,AfD,2021-10-26,2025-03-25,Ökonom (M. Sc.),15,Vorpommern-Rügen - Vorpommern-Greifswald I,Landesliste,
743,11005315,Manfred Schiller,1961-09-23,männlich,AfD,2024-07-23,2025-03-25,"Radio- und Fernsehtechniker, selbstständig",235,Weiden,Landesliste,
289,11004669,Marc Bernhard,1972-02-05,männlich,AfD,2021-10-26,2025-03-25,"Rechtsanwalt, MBA",271,Karlsruhe-Stadt,Landesliste,
303,11004687,Marcus Bühl,1977-04-29,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Informatiker (M. Sc.) (FH),192,Gotha - Ilm-Kreis,Direktwahl,
