,id,full_name,birthdate,gender,party,profession,district_number,district_name,mandate,potential_handle
512,11005504,Achim Köhler,1964-03-22,männlich,AfD,,277,Rhein-Neckar,Landesliste,
416,11005408,Adam Balten,1983-11-09,männlich,AfD,Mechatronik-Ingenieur,112,Wesel I,Landesliste,
412,11005404,Alexander Arpaschi,1970-05-24,männlich,AfD,,273,Rastatt,Landesliste,
629,11005622,Alexis L. Giersch,1963-09-25,männlich,AfD,,,,Landesliste,
169,11004674,Andreas Bleck,1988-04-17,männlich,AfD,Büroleiter,196,Neuwied,Landesliste,
532,11005524,Andreas Mayer,1995-01-25,männlich,AfD,Luft- und Raumfahrttechnik-Ingenieur,253,Donau-Ries,Landesliste,qimmuno.bsky.social
548,11005540,Andreas Paul,1978-10-10,männlich,AfD,Offizier in der Bundeswehr,27,Oldenburg – Ammerland,Landesliste,andimicroscopy.bsky.social
567,11005559,Angela Rudzka,1984-01-20,weiblich,AfD,Referentin der AfD Fraktion im Landtag Niedersachsen,49,Salzgitter – Wolfenbüttel,Landesliste,
557,11005549,Arne Raue,1970-08-18,männlich,AfD,,60,BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,Direktwahl,
603,11005596,Bastian Treuheit,1998-01-17,männlich,AfD,Kaufmann im Groß- und Einzelhandel,242,Fürth,Landesliste,
239,11004905,Beatrix Storch,1971-05-27,weiblich,AfD,Anwältin,85,Berlin-Lichtenberg,Landesliste,
367,11005203,Bernd Schattner,1968-06-27,männlich,AfD,Geschäftsführer,210,Südpfalz,Landesliste,
585,11005578,Bernd Schuhmann,1964-07-20,männlich,AfD,"Gärtnermeister, Gärtnertechniker",249,Schweinfurt,Landesliste,
423,11005415,Birgit Bessin,1978-03-26,weiblich,AfD,,65,Elbe-Elster – Oberspreewald-Lausitz,Direktwahl,
471,11005463,Boris Gamanov,1986-10-19,männlich,AfD,Wirtschaftsfachwirt,296,Saarbrücken,Landesliste,
575,11005567,Carina Schießl,1990-02-19,weiblich,AfD,,232,Regensburg,Landesliste,heartflamestudio.bsky.social
258,11005014,Carolin Bachmann,1988-09-03,weiblich,AfD,,160,Mittelsachsen,Direktwahl,
420,11005412,Carsten Becker,1990-01-20,männlich,AfD,Facharbeiter,297,Saarlouis,Landesliste,
450,11005442,Christian Douglas,1978-01-26,männlich,AfD,Dipl.-Kaufmann,180,Main-Taunus,Landesliste,crddouglas.bsky.social
558,11005550,Christian Reck,1987-11-16,männlich,AfD,"Kaufmann für Groß- und Außenhandel, B.A.",154,Meißen,Direktwahl,
622,11005615,Christian Zaum,1969-06-30,männlich,AfD,Gymnasiallehrer,147,Siegen-Wittgenstein,Landesliste,
480,11005472,Christoph Grimm,1957-04-03,männlich,AfD,Rechtsanwalt,13,Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,Direktwahl,pluna1107.bsky.social
451,11005443,Christopher Drößler,1995-09-26,männlich,AfD,Polizeibeamter,188,Eichsfeld – Nordhausen – Kyffhäuserkreis,Direktwahl,
615,11005608,Claudia Weiss,1975-02-07,weiblich,AfD,Pflegedienstleiterin,69,Magdeburg,Direktwahl,
534,11005526,Danny Meiners,1979-01-02,männlich,AfD,Metallbaumeister,31,Mittelems,Landesliste,
588,11005581,Dario Seifert,1994-04-02,männlich,AfD,Kaufmann für Bürokommunikation,15,Vorpommern-Rügen – Vorpommern-Greifswald I,Direktwahl,
549,11005541,Denis Pauli,1978-09-25,männlich,AfD,,,,Landesliste,marcpauli.bsky.social
625,11005618,Diana Zimmer,1998-07-09,weiblich,AfD,Betriebswirtin (B.Sc.),279,Pforzheim,Landesliste,
269,11005031,Dirk Brandes,1974-05-25,männlich,AfD,Industriekaufmann,43,Hannover-Land I,Landesliste,brandesino.bsky.social
185,11004724,Dr. Alexander Gauland,1941-02-20,männlich,AfD,"Staatssekretär a. D., Publizist",161,Chemnitz,Direktwahl,
620,11005613,Dr. Alexander Wolf,1967-04-19,männlich,AfD,Rechtsanwalt,20,Hamburg-Eimsbüttel,Landesliste,
244,11004930,Dr. Alice Weidel,1979-02-06,weiblich,AfD,"Dipl.-Kauffrau, Dipl.-Volkswirtin",293,Bodensee,Landesliste,
523,11005515,Dr. Anna Rathert,1977-04-29,weiblich,AfD,Rechtsanwältin,120,Recklinghausen I,Landesliste,
164,11004662,Dr. Bernd Baumann,1958-01-31,männlich,AfD,Kaufmann,19,Hamburg-Altona,Landesliste,
246,11004936,Dr. Christian Wirth,1963-04-27,männlich,AfD,Rechtsanwalt,,,Landesliste,
262,11005018,Dr. Christina Baum,1956-03-21,weiblich,AfD,Zahnärztin,68,Harz,Direktwahl,
426,11005418,Dr. Christoph Birghan,1970-06-23,männlich,AfD,Patentanwalt,224,Traunstein,Landesliste,
623,11005616,Dr. Daniel Zerbin,1973-02-01,männlich,AfD,Kriminalwissenschaftler,140,Herne – Bochum II,Landesliste,
177,11004698,Dr. Gottfried Curio,1960-09-02,männlich,AfD,,84,Berlin-Marzahn-Hellersdorf,Direktwahl,
184,11004722,Dr. Götz Frömming,1968-08-30,männlich,AfD,Gymnasiallehrer,56,Prignitz – Ostprignitz-Ruppin – Havelland I,Direktwahl,
310,11005099,Dr. Malte Kaufmann,1976-12-14,männlich,AfD,"Dipl.-Volkswirt, Unternehmer",274,Heidelberg,Landesliste,
520,11005512,Dr. Maximilian Krah,1977-01-28,männlich,AfD,Volljurist,162,Chemnitzer Umland – Erzgebirgskreis II,Direktwahl,krahmax.bsky.social
428,11005420,Dr. Michael Blos,1976-03-03,männlich,AfD,Dipl. Geologe,283,Emmendingen – Lahr,Landesliste,
181,11004711,Dr. Michael Espendiller,1989-05-05,männlich,AfD,"Mathematiker, Volkswirt",125,Borken II,Landesliste,
580,11005572,Dr. Paul Schmidt,1966-01-04,männlich,AfD,Physiker,,,Landesliste,
202,11004792,Dr. Rainer Kraft,1974-01-08,männlich,AfD,Dipl.-Chemiker,,,Landesliste,
405,11005305,Dr. Rainer Rothfuß,1971-04-19,männlich,AfD,Geopolitik-Analyst,256,Oberallgäu,Landesliste,
347,11005166,Edgar Naujok,1960-06-25,männlich,AfD,Unternehmer,153,Leipzig-Land,Direktwahl,
199,11004787,Enrico Komning,1968-08-06,männlich,AfD,Rechtsanwalt,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,Direktwahl,
441,11005433,Erhard Brucker,1972-10-28,männlich,AfD,Unternehmer,228,Passau,Landesliste,
194,11004767,Fabian Jacobi,1973-06-19,männlich,AfD,Rechtsanwalt,92,Köln I,Landesliste,
584,11005577,Georg Schroeter,1950-08-26,männlich,AfD,Diplom-Ingenieur; selbständig,144,Hamm – Unna II,Landesliste,
267,11005029,Gereon Bollmann,1953-11-20,männlich,AfD,Richter am Oberlandesgericht a. D.,4,Rendsburg-Eckernförde,Landesliste,
217,11004846,Gerold Otten,1955-12-07,männlich,AfD,Berufssoldat a. D.,220,München-Land,Landesliste,
305,11005091,Gerrit Huy,1953-05-13,weiblich,AfD,Diplommathematikerin,225,Weilheim,Landesliste,
289,11005066,Hannes Gnauck,1991-08-08,männlich,AfD,Soldat auf Zeit,57,Uckermark – Barnim I,Direktwahl,
477,11005469,Hans-Jürgen Goßner,1970-11-17,männlich,AfD,"Industriemeister für Elektrotechnik (IHK), Technischer Einkäufer",263,Göppingen,Landesliste,
466,11005458,Hauke Finger,1968-08-17,männlich,AfD,Bankbetriebswirt,113,Krefeld II – Wesel II,Landesliste,
510,11005502,Heinrich Koch,1962-03-08,männlich,AfD,Sachverständiger für Unfallrekonstruktion,275,Mannheim,Landesliste,fparan.bsky.social
543,11005535,Iris Nieland,1960-06-20,weiblich,AfD,,209,Pirmasens,Landesliste,
