,id,full_name,birthdate,gender,party,profession,district_number,district_name,mandate,potential_handle
512,11005504,Achim Köhler,22.03.1964,männlich,AfD,,277,Rhein-Neckar,Landesliste,
416,11005408,Adam Balten,09.11.1983,männlich,AfD,Mechatronik-Ingenieur,112,Wesel I,Landesliste,
412,11005404,Alexander Arpaschi,24.05.1970,männlich,AfD,,273,Rastatt,Landesliste,
629,11005622,Alexis L. Giersch,25.09.1963,männlich,AfD,,,,Landesliste,
169,11004674,Andreas Bleck,17.04.1988,männlich,AfD,Büroleiter,196,Neuwied,Landesliste,
532,11005524,Andreas Mayer,25.01.1995,männlich,AfD,Luft- und Raumfahrttechnik-Ingenieur,253,Donau-Ries,Landesliste,qimmuno.bsky.social
548,11005540,Andreas Paul,10.10.1978,männlich,AfD,Offizier in der Bundeswehr,27,Oldenburg – Ammerland,Landesliste,andimicroscopy.bsky.social
567,11005559,Angela Rudzka,20.01.1984,weiblich,AfD,Referentin der AfD Fraktion im Landtag Niedersachsen,49,Salzgitter – Wolfenbüttel,Landesliste,
557,11005549,Arne Raue,18.08.1970,männlich,AfD,,60,BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,Direktwahl,
603,11005596,Bastian Treuheit,17.01.1998,männlich,AfD,Kaufmann im Groß- und Einzelhandel,242,Fürth,Landesliste,
239,11004905,Beatrix Storch,27.05.1971,weiblich,AfD,Anwältin,85,Berlin-Lichtenberg,Landesliste,
367,11005203,Bernd Schattner,27.06.1968,männlich,AfD,Geschäftsführer,210,Südpfalz,Landesliste,
585,11005578,Bernd Schuhmann,20.07.1964,männlich,AfD,"Gärtnermeister, Gärtnertechniker",249,Schweinfurt,Landesliste,
423,11005415,Birgit Bessin,26.03.1978,weiblich,AfD,,65,Elbe-Elster – Oberspreewald-Lausitz,Direktwahl,
471,11005463,Boris Gamanov,19.10.1986,männlich,AfD,Wirtschaftsfachwirt,296,Saarbrücken,Landesliste,
575,11005567,Carina Schießl,19.02.1990,weiblich,AfD,,232,Regensburg,Landesliste,heartflamestudio.bsky.social
258,11005014,Carolin Bachmann,03.09.1988,weiblich,AfD,,160,Mittelsachsen,Direktwahl,
420,11005412,Carsten Becker,20.01.1990,männlich,AfD,Facharbeiter,297,Saarlouis,Landesliste,
450,11005442,Christian Douglas,26.01.1978,männlich,AfD,Dipl.-Kaufmann,180,Main-Taunus,Landesliste,crddouglas.bsky.social
558,11005550,Christian Reck,16.11.1987,männlich,AfD,"Kaufmann für Groß- und Außenhandel, B.A.",154,Meißen,Direktwahl,
622,11005615,Christian Zaum,30.06.1969,männlich,AfD,Gymnasiallehrer,147,Siegen-Wittgenstein,Landesliste,
480,11005472,Christoph Grimm,03.04.1957,männlich,AfD,Rechtsanwalt,13,Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,Direktwahl,pluna1107.bsky.social
451,11005443,Christopher Drößler,26.09.1995,männlich,AfD,Polizeibeamter,188,Eichsfeld – Nordhausen – Kyffhäuserkreis,Direktwahl,
615,11005608,Claudia Weiss,07.02.1975,weiblich,AfD,Pflegedienstleiterin,69,Magdeburg,Direktwahl,
534,11005526,Danny Meiners,02.01.1979,männlich,AfD,Metallbaumeister,31,Mittelems,Landesliste,
588,11005581,Dario Seifert,02.04.1994,männlich,AfD,Kaufmann für Bürokommunikation,15,Vorpommern-Rügen – Vorpommern-Greifswald I,Direktwahl,
549,11005541,Denis Pauli,25.09.1978,männlich,AfD,,,,Landesliste,marcpauli.bsky.social
625,11005618,Diana Zimmer,09.07.1998,weiblich,AfD,Betriebswirtin (B.Sc.),279,Pforzheim,Landesliste,
269,11005031,Dirk Brandes,25.05.1974,männlich,AfD,Industriekaufmann,43,Hannover-Land I,Landesliste,brandesino.bsky.social
185,11004724,Dr. Alexander Gauland,20.02.1941,männlich,AfD,"Staatssekretär a. D., Publizist",161,Chemnitz,Direktwahl,
620,11005613,Dr. Alexander Wolf,19.04.1967,männlich,AfD,Rechtsanwalt,20,Hamburg-Eimsbüttel,Landesliste,
244,11004930,Dr. Alice Weidel,06.02.1979,weiblich,AfD,"Dipl.-Kauffrau, Dipl.-Volkswirtin",293,Bodensee,Landesliste,
523,11005515,Dr. Anna Rathert,29.04.1977,weiblich,AfD,Rechtsanwältin,120,Recklinghausen I,Landesliste,
164,11004662,Dr. Bernd Baumann,31.01.1958,männlich,AfD,Kaufmann,19,Hamburg-Altona,Landesliste,
246,11004936,Dr. Christian Wirth,27.04.1963,männlich,AfD,Rechtsanwalt,,,Landesliste,
262,11005018,Dr. Christina Baum,21.03.1956,weiblich,AfD,Zahnärztin,68,Harz,Direktwahl,
426,11005418,Dr. Christoph Birghan,23.06.1970,männlich,AfD,Patentanwalt,224,Traunstein,Landesliste,
623,11005616,Dr. Daniel Zerbin,01.02.1973,männlich,AfD,Kriminalwissenschaftler,140,Herne – Bochum II,Landesliste,
177,11004698,Dr. Gottfried Curio,02.09.1960,männlich,AfD,,84,Berlin-Marzahn-Hellersdorf,Direktwahl,
184,11004722,Dr. Götz Frömming,30.08.1968,männlich,AfD,Gymnasiallehrer,56,Prignitz – Ostprignitz-Ruppin – Havelland I,Direktwahl,
310,11005099,Dr. Malte Kaufmann,14.12.1976,männlich,AfD,"Dipl.-Volkswirt, Unternehmer",274,Heidelberg,Landesliste,
520,11005512,Dr. Maximilian Krah,28.01.1977,männlich,AfD,Volljurist,162,Chemnitzer Umland – Erzgebirgskreis II,Direktwahl,krahmax.bsky.social
428,11005420,Dr. Michael Blos,03.03.1976,männlich,AfD,Dipl. Geologe,283,Emmendingen – Lahr,Landesliste,
181,11004711,Dr. Michael Espendiller,05.05.1989,männlich,AfD,"Mathematiker, Volkswirt",125,Borken II,Landesliste,
580,11005572,Dr. Paul Schmidt,04.01.1966,männlich,AfD,Physiker,,,Landesliste,
202,11004792,Dr. Rainer Kraft,08.01.1974,männlich,AfD,Dipl.-Chemiker,,,Landesliste,
405,11005305,Dr. Rainer Rothfuß,19.04.1971,männlich,AfD,Geopolitik-Analyst,256,Oberallgäu,Landesliste,
347,11005166,Edgar Naujok,25.06.1960,männlich,AfD,Unternehmer,153,Leipzig-Land,Direktwahl,
199,11004787,Enrico Komning,06.08.1968,männlich,AfD,Rechtsanwalt,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,Direktwahl,
441,11005433,Erhard Brucker,28.10.1972,männlich,AfD,Unternehmer,228,Passau,Landesliste,
194,11004767,Fabian Jacobi,19.06.1973,männlich,AfD,Rechtsanwalt,92,Köln I,Landesliste,
584,11005577,Georg Schroeter,26.08.1950,männlich,AfD,Diplom-Ingenieur; selbständig,144,Hamm – Unna II,Landesliste,
267,11005029,Gereon Bollmann,20.11.1953,männlich,AfD,Richter am Oberlandesgericht a. D.,4,Rendsburg-Eckernförde,Landesliste,
217,11004846,Gerold Otten,07.12.1955,männlich,AfD,Berufssoldat a. D.,220,München-Land,Landesliste,
305,11005091,Gerrit Huy,13.05.1953,weiblich,AfD,Diplommathematikerin,225,Weilheim,Landesliste,
289,11005066,Hannes Gnauck,08.08.1991,männlich,AfD,Soldat auf Zeit,57,Uckermark – Barnim I,Direktwahl,
477,11005469,Hans-Jürgen Goßner,17.11.1970,männlich,AfD,"Industriemeister für Elektrotechnik (IHK), Technischer Einkäufer",263,Göppingen,Landesliste,
466,11005458,Hauke Finger,17.08.1968,männlich,AfD,Bankbetriebswirt,113,Krefeld II – Wesel II,Landesliste,
510,11005502,Heinrich Koch,08.03.1962,männlich,AfD,Sachverständiger für Unfallrekonstruktion,275,Mannheim,Landesliste,fparan.bsky.social
543,11005535,Iris Nieland,20.06.1960,weiblich,AfD,,209,Pirmasens,Landesliste,
463,11005455,Jan Feser,01.03.1985,männlich,AfD,Sozialjurist,177,Rheingau-Taunus – Limburg,Landesliste,
214,11004842,Jan Ralf Nolte,30.12.1988,männlich,AfD,Soldat,166,Waldeck,Landesliste,
371,11005210,Jan Wenzel Schmidt,08.10.1991,männlich,AfD,Handelsfachwirt,67,Börde – Salzlandkreis,Direktwahl,
427,11005419,Joachim Bloch,02.08.1963,männlich,AfD,Rechtsanwalt,285,Rottweil – Tuttlingen,Landesliste,
187,11004739,Jochen Haug,11.01.1973,männlich,AfD,Rechtsanwalt,94,Köln III,Landesliste,
530,11005522,Johann Martel,16.02.1979,männlich,AfD,Technischer Fachwirt,276,Odenwald – Tauber,Landesliste,
577,11005569,Julian Schmidt,10.12.1989,männlich,AfD,Wirtschaftsingenieur,170,Marburg,Landesliste,jvigil.bsky.social
626,11005619,Jörg Zirwes,20.03.1968,männlich,AfD,Berufssoldat a. D.,199,Mosel/Rhein-Hunsrück,Landesliste,
200,11004788,Jörn König,29.10.1967,männlich,AfD,"IT-Unternehmensberater, Dipl.-Ing. (MBA)",41,Stadt Hannover I,Landesliste,
511,11005503,Jürgen Koegel,26.09.1958,männlich,AfD,Dipl.-Bankbetriebswirt ADG,267,Heilbronn,Landesliste,
191,11004752,Karsten Hilse,12.12.1964,männlich,AfD,Polizeibeamter,155,Bautzen I,Direktwahl,
186,11004731,Kay Gottschalk,12.12.1965,männlich,AfD,Dipl.-Kaufmann,110,Viersen,Landesliste,
400,11005265,Kay-Uwe Ziegler,27.10.1963,männlich,AfD,Kaufmann / Geschäftsführer Textilhandel,73,Mansfeld,Direktwahl,
555,11005547,Kerstin Przygodda,15.08.1962,weiblich,AfD,Angestellte,11,Lübeck,Landesliste,
536,11005528,Knuth Meyer-Soltau,13.03.1965,männlich,AfD,Rechtsanwalt und Fachanwalt für Strafrecht,139,Bochum I,Landesliste,
506,11005498,Kurt Kleinschmidt,07.02.1967,männlich,AfD,Pensionär (Soldat a. D.),2,Nordfriesland – Dithmarschen Nord,Landesliste,
486,11005478,Lars Haise,23.03.1989,männlich,AfD,Lokomotivführer,264,Waiblingen,Landesliste,
574,11005566,Lars Schieske,01.01.1977,männlich,AfD,,64,Cottbus – Spree-Neiße,Direktwahl,
193,11004761,Leif-Erik Holm,01.08.1970,männlich,AfD,Ökonom (M. Sc.),12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Direktwahl,
560,11005552,Lukas Rehm,05.02.1990,männlich,AfD,Personalsachbearbeiter,215,Ingolstadt,Landesliste,
407,11005315,Manfred Schiller,23.09.1961,männlich,AfD,"Radio- und Fernsehtechniker, selbstständig",234,Weiden,Landesliste,
521,11005513,Manuel Krauthausen,12.05.1992,männlich,AfD,"Schornsteinfeger, Gebäude-Energieberater",,,Landesliste,
165,11004669,Marc Bernhard,05.02.1972,männlich,AfD,"Rechtsanwalt, MBA",271,Karlsruhe-Stadt,Landesliste,
556,11005548,Marcel Queckemeyer,14.09.1980,männlich,AfD,Industriekaufmann (Vertriebsleiter),38,Osnabrück-Land,Landesliste,
174,11004687,Marcus Bühl,29.04.1977,männlich,AfD,Dipl.-Informatiker (M. Sc.) (FH),191,Gotha – Ilm-Kreis,Direktwahl,
183,11004721,Markus Frohnmaier,25.02.1991,männlich,AfD,Pressesprecher,260,Böblingen,Landesliste,
531,11005523,Markus Matzerath,03.12.1970,männlich,AfD,Polizeivollzugsbeamter i.d. Bundespolizei,,,Landesliste,
225,11004862,Martin Erwin Renner,05.05.1954,männlich,AfD,Dipl.-Betriebswirt,103,Mettmann I,Landesliste,
190,11004749,Martin Hess,11.01.1971,männlich,AfD,Polizeihauptkommissar a. D.,265,Ludwigsburg,Landesliste,
224,11004859,Martin Reichardt,30.07.1969,männlich,AfD,"Offizier, Dipl.-Pädagoge",72,Burgenland – Saalekreis,Direktwahl,americanwatr.bsky.social
235,11004892,Martin Sichert,10.06.1980,männlich,AfD,Dipl.-Kaufmann,26,Friesland – Wilhelmshaven – Wittmund,Landesliste,
504,11005496,Martina Kempf,31.03.1964,weiblich,AfD,Juristin,281,Freiburg,Landesliste,
604,11005597,Martina Uhr,26.03.1961,weiblich,AfD,Medizinische Fachkraft,25,Unterems,Landesliste,
614,11005607,Mathias Weiser,05.12.1986,männlich,AfD,kaufmännischer Leiter,165,Vogtlandkreis,Direktwahl,
299,11005079,Matthias Helferich,14.10.1988,männlich,AfD,Rechtsanwalt,142,Dortmund II,Landesliste,
341,11005157,Matthias Moosdorf,20.04.1965,männlich,AfD,"Musiker, Hochschullehrer",164,Zwickau,Direktwahl,
563,11005555,Matthias Rentzsch,23.09.1977,männlich,AfD,,159,Dresden II – Bautzen II,Direktwahl,
507,11005499,Maximilian Kneller,20.10.1993,männlich,AfD,Wissenschaftlicher Mitarbeiter,131,Bielefeld – Gütersloh II,Landesliste,
462,11005454,Micha Fehre,18.04.1997,männlich,AfD,Unternehmer,42,Stadt Hannover II,Landesliste,
487,11005479,Mirco Hanker,02.02.1966,männlich,AfD,Dipl.-Kaufmann,50,Braunschweig,Landesliste,
491,11005483,Nicole Hess,22.07.1973,weiblich,AfD,"Industriekauffrau, Purser, Synchronsprecher",,,Landesliste,
192,11004753,Nicole Höchst,10.02.1970,weiblich,AfD,,200,Kreuznach,Landesliste,nicolehoechst-mdb.bsky.social
494,11005486,Olaf Hilmer,17.02.1972,männlich,AfD,Dipl.-Logistiker,,,Landesliste,svenolafhilmer.bsky.social
593,11005586,Otto Strauß,19.02.1954,männlich,AfD,Dachdeckermeister in Rente,,,Landesliste,
170,11004675,Peter Boehringer,06.04.1969,männlich,AfD,"Publizist, Kaufmann",231,Amberg,Landesliste,
431,11005423,Peter Bohnhof,14.12.1962,männlich,AfD,Rechtsanwalt,,,Landesliste,
182,11004714,Peter Felser,20.09.1969,männlich,AfD,Unternehmer,,,Landesliste,
525,11005517,Pierre Lamely,12.01.1981,männlich,AfD,"Heizungsmonteur, Assistent EU-Parlament (beurlaubt)",173,Fulda,Landesliste,
484,11005476,Prof. Dr. Ingo Hahn,28.01.1971,männlich,AfD,Professor,222,Bad Tölz-Wolfratshausen – Miesbach,Landesliste,
311,11005100,Prof. Dr. Michael Kaufmann,21.04.1964,männlich,AfD,"Ingenieur, Hochschullehrer",194,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Direktwahl,
572,11005564,Raimond Scheirich,21.03.1990,männlich,AfD,Umweltingenieur,251,Augsburg-Stadt,Landesliste,
470,11005462,Rainer Galla,23.09.1961,männlich,AfD,Volljurist,63,Frankfurt (Oder) – Oder-Spree,Direktwahl,
481,11005473,Rainer Groß,09.08.1960,männlich,AfD,Rechtsanwalt,,,Landesliste,rakaiser.bsky.social
539,11005531,Reinhard Mixl,11.01.1961,männlich,AfD,"Dipl.-Betriebswirt (FH), Wirtschaftsberater",233,Schwandorf,Landesliste,
266,11005026,René Bochmann,04.02.1969,männlich,AfD,Bürokaufmann,150,Nordsachsen,Direktwahl,
